Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса проживання,Телефон,Email
Андрійчук,Златослава,Максимівна,female,1943-02-10,Мовознавець,село Світлодарськ,"вулиця Івана Луценка, буд. 2, Могилів-Подільський, 41498",097 309 48 38,vmoskal@example.com
Мірошниченко,Арсен,Петрович,male,2007-08-31,Бізнесмен,селище Скалат,"шосе Заводська 1-ша, буд. 77 кв. 6, Полонне, 65538",+380 (33) 876-92-92,antonlazarenko@example.net
Овчаренко,Микита,Володимирович,male,1998-06-16,Астрофізик,селище Сокаль,"площа Дмитріївська, буд. 893 кв. 414, Кам'янське, 15228",+380 10 632 38 05,hennadiiiurchyshyn@example.com
Забіла,Марта,Максимівна,female,1946-06-25,Кінолог,село Охтирка,"парк Кишинівська, буд. 488, Верхівцеве, 49956",+380 76 343 61 51,zynovii71@example.net
Гайдамака,Теодор,Денисович,male,2003-05-29,Кіноактор,селище Городня,"шосе Добровольців, буд. 859 кв. 45, Світловодськ, 18333",905 41 26,solomiia89@example.com
Ванченко,Борислав,Олексійович,male,1981-02-14,Акушер,місто Буринь,"узвіз Київське, буд. 948, Новоград-Волинський, 27587",083 315-34-83,kyrylenkolarysa@example.net
Демʼянчук,Геннадій,Андрійович,male,1988-02-11,Співак,хутір Новоазовськ,"сквер Мусіна, буд. 6, Березне, 76837",+380 66 919-24-93,pylypenkoboleslav@example.com
Ємельяненко,Максим,Владиславович,male,1942-12-29,Золотар,селище Дубляни,"шосе Шота Руставелі, буд. 081 кв. 83, Алмазна, 50716",+380 69 072-24-25,leopoldbarannyk@example.com
Дрозд,Ольга,Андріївна,female,2001-04-08,Гінеколог,місто Тиврів,"набережна Єфімова, буд. 499, Ялта, 14645",547-40-18,sheremetmaksym@example.org
Романчук,Леонтій,Володимирович,male,1945-10-07,Географ,хутір Новий Буг,"проспект Аеропортівська, буд. 82 кв. 027, Ходорів, 49842",+380 25 801-69-24,alekseienkoleopold@example.net
Василечко,Степан,Ігорович,male,2005-05-13,Сантехнік,село Кодима,"шосе Павла Чубинського, буд. 352, Мала Виска, 88584",+380 38 524-77-10,khupalo@example.org
Шухевич,Нестор,Романович,male,1949-07-01,Клавішник,місто Олевськ,"набережна Слави, буд. 24, Кременець, 30379",+380 48 668 79 12,halyna38@example.org
Андрієвич,Аніта,Вікторівна,female,1973-04-02,Штукатур,село Ківерці,"узвіз Платанова, буд. 0 кв. 428, Дрогобич, 13070",039 291-58-12,serhii58@example.com
